product_code;stock
2001459870464;0
2001459870488;0
2001459871348;14
2001459871355;10
2001459871362;6
2001459871379;7
2001459871386;13
2001459872406;0
2001459872413;0
2001459872437;1
2001459872444;0
2001459872451;0
2001459872468;0
2001459872475;0
2001459872499;0
2001459872505;2
2001459872512;6
2001459872536;5
2001459872543;4
2001459872925;4
2001459872949;14
2001459872956;12
2001459872963;13
2001459872970;6
2001459872987;8
2001459872994;9
2001459873892;7
2001459873908;5
2001459873915;13
2001459873922;5
2001459873939;6
2001459873946;6
2001459874417;8
2001459874424;8
2001459874431;5
2001459874455;6
2001459874462;3
2001459874769;5
2001459874776;8
2001459874783;11
2001459875155;0
2001459875162;0
2001459875179;0
2001459875186;0
2001459875193;1
2001459875209;0
2001459875216;0
2001459875223;0
2001459875230;0
2001459875247;1
2001459875254;0
2001459875261;2
2001459875278;1
2001459875285;6
2001459875292;3
2001459875308;6
2001459875315;2
2001459875322;2
2001459875339;3
2001459875346;2
2001459875353;6
2001459875360;5
2001459875476;3
2001459875483;5
2001459875490;5
2001459875506;5
2001459875513;4
2001459875520;4
2001459875759;1
2001459875766;11
2001459875773;14
2001459875780;3
2001459875797;2
2001459875803;6
2001459876763;0
2001459876770;0
2001459876787;0
2001459876794;0
2001459876800;0
2001459876817;0
2001459876824;0
2001459876831;0
2001459876848;17
2001459876855;35
2001459876862;37
2001459876879;29
2001459876886;41
2001459876893;10
2001459876909;18
2001459876916;0
2001459876923;0
2001459876930;0
2001459876954;0
2001459876961;0
2001459876978;1
2001459877036;0
2001459877043;3
2001459877050;4
2001459877067;3
2001459877074;0
2001459877081;6
2001459877098;0
2001459877104;6
2001459877111;8
2001459877128;7
2001459877135;10
2001459877142;6
2001459877159;2
2001459877166;3
2001459877173;6
2001459877784;0
2001459877791;5
2001459877807;31
2001459877814;22
2001459877821;23
2001459877838;4
2001459877845;2
2001459877869;11
2001459877876;1
2001459877883;7
2001459877890;18
2001459877906;26
2001459877913;21
2001459877920;14
2001459877937;14
2001459877944;13
2001459877951;3
2001459877968;2
2001459877975;1
2001459878026;3
2001459878033;7
2001459878354;0
2001459878446;5
2001459879023;0
2001459879054;0
2001459879061;0
2001459879078;0
2001459879085;3
2001459879092;11
2001459879108;0
2001459879115;0
2001459879122;0
2001459879443;0
2001459879450;0
2001459879467;0
2001459879474;0
2001459879511;12
2001459879528;20
2001459879535;1
2001459879542;6
2001459879559;1
2001459880036;0
2001459880043;26
2001459880050;48
2001459880067;19
2001459880074;27
2001459880081;9
2001459880098;3
2001459880128;10
2001459880135;3
2001459880142;6
2001459880159;20
2001459880166;2
2001459880173;12
2001459880180;5
2001459880197;8
2001459880241;13
2001459880760;0
2001459880807;9
2001459880814;4
2001459881613;12
2001459881620;31
2001459881637;24
2001459881644;15
2001459881651;27
2001459881668;8
2001459881675;16
2001459881682;1
2001459881705;3
2001459881712;4
2001459881729;0
2001459881736;2
2001459881743;4
2001459881750;5
2001459882016;13
2001459882023;6
2001459882030;3
2001459882047;5
2001459882474;13
2001459882481;9
2001459882498;8
2001459882931;2
2001459882948;2
2001459882955;3
2001459882962;3
2001459882979;20
2001459882986;2
2001459882993;3
2001459883006;5
2001459883013;9
2001459883020;4
2001459883037;2
2001459883044;6
2001459883051;5
2001459883068;4
2001459883389;0
2001459883396;4
2001459884188;0
2001459884195;1
2001459884201;0
2001459884218;0
2001459884225;0
2001459884249;0
2001459884256;1
2001459884263;0
2001459884287;0
2001459884317;2
2001459884324;2
2001459884348;3
2001459884355;2
2001459884362;2
2001459884379;3
2001459884386;23
2001459884393;9
2001459884409;0
2001459884416;0
2001459884423;0
2001459884430;4
2001459884447;0
2001459884454;0
2001459884461;0
2001459884478;0
2001459884485;0
2001459884492;6
2001459884508;5
2001459884515;0
2001459884522;3
2001459884539;0
2001459884546;1
2001459884553;0
2001459885451;8
2001459885468;14
2001459885482;0
2001459885499;1
2001459885505;7
2001459885512;6
2001459885529;0
2001459885611;0
2001459885628;0
2001459885635;0
2001459885642;0
2001459885659;0
2001459885666;0
2001459885673;0
2001459885680;0
2001459885697;6
2001459885703;0
2001459885710;3
2001459885727;0
2001459885734;0
2001459885741;0
2001459885758;0
2001459885765;11
2001459885772;1
2001459885789;6
2001459885796;4
2001459885802;1
2001459886175;2
2001459886182;5
2001459887615;5
2001459887622;3
2001459887639;4
2001459887646;4
2001459887653;5
2001459887660;6
2001459887677;5
2001459887684;1
2001459887691;0
2001459887707;7
2001459887714;3
2001459887721;13
2001459887738;2
2001459887745;4
2001459887752;6
2001459887769;4
2001459887776;2
2001459888865;4
2001459888872;1
2001459888889;1
2001459888902;0
2001459888933;2
2001459888940;1
2001459889077;3
2001459889084;1
2001459889091;5
2001459889107;14
2001459889114;0
2001459889121;6
2001459889138;1
2001459889145;0
2001459889152;0
2001459889169;0
2001459889176;1
2001459889183;0
2001459889190;3
2001459889206;1
2001459889213;6
2001459889220;9
2001459889237;5
2001459889244;3
2001459889251;3
2001459889268;0
2001459889275;0
2001459889282;0
2001459889299;0
2001459889305;0
2001459889312;0
2001459889329;0
2001459889336;0
2001459889343;0
2001459889350;1
2001459889367;0
2001459889374;0
2001459889626;10
2001459889633;1
2001459889640;6
2001459889657;0
2001459889664;3
2001459889671;0
2001459889688;0
2001459889695;0
2001459889701;0
2001459889718;0
2001459889725;2
2001459889732;0
2001459889749;0
2001459889756;0
2001459889763;1
2001459889770;4
2001459889787;6
2001459889794;0
2001459889800;0
2001459889817;1
2001459889824;5
2001459889831;3
2001459889848;6
2001459889855;6
2001459889862;3
2001459889916;0
2001459889923;0
2001459889930;0
2001459889947;0
2001459889954;0
2001459889961;0
2001459889978;0
2001459889985;0
2001459889992;0
2001459890004;0
2001459890011;0
2001459890028;0
2001459890035;0
2001459890042;0
2001459890059;0
2001459890066;0
2001459890073;0
2001459890080;0
2001459890097;0
2001459890103;12
2001459890127;2
2001459890134;4
2001459890141;9
2001459890158;3
2001459890165;17
2001459890172;27
2001459890189;23
2001459890196;3
2001459890202;7
2001459890219;20
2001459890226;27
2001459890233;19
2001459890240;8
2001459890257;11
2001459890264;12
2001459890271;5
2001459890288;6
2001459890295;6
2001459890301;4
2001459890318;4
2001459890325;6
2001459890332;4
2001459890349;8
2001459890356;7
2001459890363;5
2001459890370;5
2001459890387;10
2001459890394;18
2001459890400;10
2001459890417;3
2001459890424;10
2001459890431;18
2001459890448;20
2001459890455;12
2001459890462;8
2001459890479;10
2001459890486;9
2001459890493;6
2001459890509;5
2001459890516;6
2001459890523;6
2001459890530;5
2001459890547;5
2001459890554;6
2001459891384;4
2001459891414;6
2001459891421;3
2001459891438;0
2001459891445;0
2001459891452;0
2001459891469;10
2001459891476;0
2001459891483;7
2001459891490;0
2001459891506;5
2001459891513;8
2001459891520;11
2001459891537;4
2001459891544;1
2001459891551;15
2001459891568;8
2001459891575;7
2001459891582;6
2001459891599;4
2001459891605;5
2001459891612;6
2001459892046;6
2001459892176;6
2001459892183;9
2001459892190;14
2001459892206;5
2001459892213;8
2001459892220;6
2001459892237;5
2001459892244;4
2001459892251;6
2001459892268;3
2001459892275;6
2001459892282;5
2001459892435;10
2001459892442;6
2001459892459;6
2001459892466;8
2001459892473;6
2001459892480;8
2001459892497;8
2001459892503;13
2001459892510;1
2001459892527;57
2001459892534;35
2001459892541;32
2001459892558;47
2001459892565;13
2001459892572;17
2001459892589;7
2001459892596;5
2001459892602;3
2001459892619;9
2001459892626;5
2001459892633;2
2001459892640;5
2001459892657;22
2001459892664;11
2001459892671;16
2001459892688;22
2001459892695;8
2001459892701;9
2001459892718;6
2001459892725;6
2001459892732;1
2001459892749;6
2001459892756;9
2001459892763;7
2001459892770;6
2001459892787;6
2001459892794;9
2001459892800;6
2001459892817;10
2001459892824;10
2001459892831;9
2001459892848;9
2001459892855;10
2001459892862;6
2001459892879;10
2001459892886;8
2001459892893;7
2001459892909;8
2001459892916;5
2001459892923;4
2001459893067;10
2001459893074;0
2001459893081;6
2001459893098;27
2001459893104;12
2001459893111;14
2001459893128;22
2001459893135;6
2001459893142;12
2001459893159;10
2001459893166;9
2001459893173;5
2001459893180;0
2001459894491;3
2001459894507;4
2001459894514;12
2001459894521;12
2001459894538;6
2001459894545;16
2001459894552;29
2001459894569;30
2001459894576;12
2001459894583;10
2001459894590;29
2001459894606;40
2001459894613;13
2001459894620;12
2001459894637;8
2001459897676;8
2001459897683;10
2001459897690;22
2001459897706;14
2001459897713;16
2001459897720;18
2001459897737;8
2001459897744;8
2001459897751;6
2001459897768;6
2001459897775;6
2001459897782;6
